Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
DNASE_left_cardiac_atrium_female_embryo__101_day_	365	Left Cardiac Atrium Female Embryo (101 days) DNASE	DNASE	Left Cardiac Atrium Female Embryo	Heart	Developing	Tissue
DNASE_right_atrium_auricular_region_female_adult__51_year_	306	Right Atrium Auricular Region (Female Adult, 51 year) DNASE	DNASE	Right Atrium Auricular Region (Female Adult, 51 year)	Heart	Adult	Tissue
DNASE_right_atrium_auricular_region_female_adult__53_years_	554	Right Atrium Auricular Region (Female Adult, 53 years) DNASE	DNASE	Right Atrium Auricular Region (Female Adult, 53 years)	Heart	Adult	Tissue
DNASE_HAP_1	480	HAP-1 DNASE	DNASE	HAP-1	HSC & B Cell	Unknown	Cell Line
DNASE_K562	121	K562 DNASE	DNASE	K562	HSC & B Cell	Unknown	Cell Line
DNASE_K562	122	K562 DNASE	DNASE	K562	HSC & B Cell	Unknown	Cell Line
DNASE_K562	123	K562 DNASE	DNASE	K562	HSC & B Cell	Unknown	Cell Line
DNASE_K562	625	K562 DNASE	DNASE	K562	HSC & B Cell	Unknown	Cell Line
DNASE_K562_G1_phase	35	K562 G1 Phase DNASE	DNASE	K562 G1 Phase	HSC & B Cell	Unknown	Cell Line
DNASE_K562_G2_phase	34	K562 G2 Phase DNASE	DNASE	K562 G2 Phase	HSC & B Cell	Unknown	Cell Line
DNASE_K562_treated_with_1_uM_vorinostat_for_72_hours	33	K562 treated with 1 uM vorinostat for 72 hours DNASE	DNASE	K562 treated with 1 uM vorinostat for 72 hours	HSC & B Cell	Unknown	Cell Line
DNASE_RPMI8226	467	RPMI8226 DNASE	DNASE	RPMI8226	HSC & B Cell	Unknown	Cell Line
DNASE_B_cell_female_adult__34_years_	617	B Cell Female Adult (34 years) DNASE	DNASE	B Cell	HSC & B Cell	Adult	Tissue
DNASE_B_cell_female_adult__43_years_	60	B Cell Female Adult (43 years) DNASE	DNASE	B Cell	HSC & B Cell	Adult	Tissue
DNASE_B_cell_male_adult__21_year_	354	B Cell Male Adult (21 year) DNASE	DNASE	B Cell	HSC & B Cell	Adult	Tissue
DNASE_B_cell_male_adult__37_years_	287	B Cell Male Adult (37 years) DNASE	DNASE	B Cell	HSC & B Cell	Adult	Tissue
DNASE_CD14_positive_monocyte_female	41	CD14 Positive Monocyte Female DNASE	DNASE	CD14 Positive Monocyte	HSC & B Cell	Adult	Tissue
DNASE_CD14_positive_monocyte_female	131	CD14 Positive Monocyte Female DNASE	DNASE	CD14 Positive Monocyte	HSC & B Cell	Adult	Tissue
DNASE_CD14_positive_monocyte_female_adult__34_years_	517	CD14 Positive Monocyte Female Adult (34 years) DNASE	DNASE	CD14 Positive Monocyte	HSC & B Cell	Adult	Tissue
DNASE_CD14_positive_monocyte_male_adult__21_year_	392	CD14 Positive Monocyte Male Adult (21 year) DNASE	DNASE	CD14 Positive Monocyte	HSC & B Cell	Adult	Tissue
DNASE_CD14_positive_monocyte_male_adult__37_years_	508	CD14 Positive Monocyte Male Adult (37 years) DNASE	DNASE	CD14 Positive Monocyte	HSC & B Cell	Adult	Tissue
DNASE_CD1c_positive_myeloid_dendritic_cell	353	CD1c Positive Myeloid Dendritic Cell DNASE	DNASE	CD1c Positive Myeloid Dendritic Cell	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_female	264	Common Myeloid Progenitor (CD34 Positive) Female DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_female_adult__27_years_	220	Common Myeloid Progenitor (CD34 Positive) Female Adult (27 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_female_adult__33_years_	401	Common Myeloid Progenitor (CD34 Positive) Female Adult (33 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_female_adult__50_years_	330	Common Myeloid Progenitor (CD34 Positive) Female Adult (50 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_male	455	Common Myeloid Progenitor (CD34 Positive) Male DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_male_adult	300	Common Myeloid Progenitor (CD34 Positive) Male Adult DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_male_adult__23_years_	493	Common Myeloid Progenitor (CD34 Positive) Male Adult (23 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_male_adult__36_years_	395	Common Myeloid Progenitor (CD34 Positive) Male Adult (36 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_male_adult__42_years_	412	Common Myeloid Progenitor (CD34 Positive) Male Adult (42 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_male_adult__43_years_	535	Common Myeloid Progenitor (CD34 Positive) Male Adult (43 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_common_myeloid_progenitor__CD34_positive_male_adult__49_years_	307	Common Myeloid Progenitor (CD34 Positive) Male Adult (49 years) DNASE	DNASE	Common Myeloid Progenitor	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_male_adult__25_years__treated_with_erythropoietin_for_20_days__hydrocortisone_succinate_for_20_days__kit_ligand_for_20_days__interleukin_3_for_20_days	214	Hematopoietic Multipotent Progenitor Cell Male Adult (25 years) Treated with Erythropoietin for 20 days, Hydrocortisone Succinate for 20 days, Kit Ligand for 20 days, Interleukin 3 for 20 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell	61	Hematopoietic Multipotent Progenitor Cell DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell	211	Hematopoietic Multipotent Progenitor Cell DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell	333	Hematopoietic Multipotent Progenitor Cell DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_11_day__kit_ligand_for_11_day__hydrocortisone_succinate_for_11_day__erythropoietin_for_11_day	369	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 11 days, Kit Ligand for 11 days, Hydrocortisone Succinate for 11 days, Erythropoietin for 11 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_13_days__kit_ligand_for_13_days__hydrocortisone_succinate_for_13_days__erythropoietin_for_13_days	598	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 13 days, Kit Ligand for 13 days, Hydrocortisone Succinate for 13 days, Erythropoietin for 13 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_15_days__kit_ligand_for_15_days__hydrocortisone_succinate_for_15_days__erythropoietin_for_15_days	634	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 15 days, Kit Ligand for 15 days, Hydrocortisone Succinate for 15 days, Erythropoietin for 15 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_17_days__kit_ligand_for_17_days__hydrocortisone_succinate_for_17_days__erythropoietin_for_17_days	346	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 17 days, Kit Ligand for 17 days, Hydrocortisone Succinate for 17 days, Erythropoietin for 17 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_18_days__kit_ligand_for_18_days__hydrocortisone_succinate_for_18_days__erythropoietin_for_18_days	410	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 18 days, Kit Ligand for 18 days, Hydrocortisone Succinate for 18 days, Erythropoietin for 18 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_4_days__kit_ligand_for_4_days__hydrocortisone_succinate_for_4_days__erythropoietin_for_4_days	233	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 4 days, Kit Ligand for 4 days, Hydrocortisone Succinate for 4 days, Erythropoietin for 4 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_6_days__kit_ligand_for_6_days__hydrocortisone_succinate_for_6_days__erythropoietin_for_6_days	454	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 6 days, Kit Ligand for 6 days, Hydrocortisone Succinate for 6 days, Erythropoietin for 6 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_8_days__kit_ligand_for_8_days__hydrocortisone_succinate_for_8_days__erythropoietin_for_8_days	588	Hematopoietic Multipotent Progenitor Cell Treated with Interleukin 3 for 8 days, Kit Ligand for 8 days, Hydrocortisone Succinate for 8 days, Erythropoietin for 8 days DNASE	DNASE	Hematopoietic Multipotent Progenitor Cell	HSC & B Cell	Adult	Tissue
DNASE_natural_killer_cell_female_adult__34_years_	528	Natural Killer Cell (Female Adult, 34 years) DNASE	DNASE	Natural Killer Cell (Female Adult, 34 years)	HSC & B Cell	Adult	Tissue
DNASE_natural_killer_cell_male_adult__21_year_	522	Natural Killer Cell (Male Adult, 21 year) DNASE	DNASE	Natural Killer Cell (Male Adult, 21 year)	HSC & B Cell	Adult	Tissue
DNASE_natural_killer_cell_male_adult__37_years_	527	Natural Killer Cell (Male Adult, 37 years) DNASE	DNASE	Natural Killer Cell (Male Adult, 37 years)	HSC & B Cell	Adult	Tissue
DNASE_CWRU1_male	30	CWRU1 Male DNASE	DNASE	CWRU1	iPSC	Unknown	Cell Line
DNASE_GM23338_male_adult__53_years__originated_from_GM23248	166	GM23338 Male Adult (53 years, Originated from GM23248) DNASE	DNASE	GM23338	iPSC	Unknown	Cell Line
DNASE_iPS_DF_19_11_male_newborn	357	iPS_DF_19_11 Male Newborn DNASE	DNASE	iPS_DF_19_11 Male Newborn	iPSC	Newborn	Cell Line
DNASE_iPS_DF_19_7_male_newborn	386	iPS_DF_19_7 Male Newborn DNASE	DNASE	iPS_DF_19_7 Male Newborn	iPSC	Newborn	Cell Line
DNASE_iPS_DF_4_7_male_newborn	170	iPS_DF_4_7 Male Newborn DNASE	DNASE	iPS_DF_4_7 Male Newborn	iPSC	Newborn	Cell Line
DNASE_iPS_DF_6_9_male_newborn	293	iPS_DF_6_9 Male Newborn DNASE	DNASE	iPS_DF_6_9 Male Newborn	iPSC	Newborn	Cell Line
DNASE_iPS_NIHi11_male_adult__71_year__originated_from_AG20443	31	iPS_NIHi11 Male Adult (71 years) Originated from AG20443 DNASE	DNASE	iPS_NIHi11 Male Adult Originated from AG20443	iPSC	Adult	Cell Line
DNASE_iPS_NIHi7_female_adult__85_years__originated_from_AG08395	32	iPS_NIHi7 Female Adult (85 years) Originated from AG08395 DNASE	DNASE	iPS_NIHi7 Female Adult Originated from AG08395	iPSC	Adult	Cell Line
DNASE_HEK293T	23	HEK293T DNASE	DNASE	HEK293T	Kidney	Unknown	Cell Line
DNASE_HK_2	490	HK-2 DNASE	DNASE	HK-2	Kidney	Unknown	Cell Line
DNASE_kidney_capillary_endothelial_cell_female_embryo__113_days_	670	Kidney Capillary Endothelial Cell Female Embryo (113 days) DNASE	DNASE	Kidney Capillary Endothelial Cell Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_embryo__80_days_	197	Kidney Embryo (80 days) DNASE	DNASE	Kidney Embryo	Kidney	Developing	Tissue
DNASE_kidney_embryo__59_days__and_female_embryo__59_days_	564	Kidney Embryo (59 days) and Female Embryo (59 days) DNASE	DNASE	Kidney Embryo and Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__105_days_	553	Kidney Female Embryo (105 days) DNASE	DNASE	Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__105_days_	648	Kidney Female Embryo (105 days) DNASE	DNASE	Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__108_days_	637	Kidney Female Embryo (108 days) DNASE	DNASE	Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__113_days_	496	Kidney Female Embryo (113 days) DNASE	DNASE	Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__120_days_	212	Kidney Female Embryo (120 days) DNASE	DNASE	Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__121_day_	203	Kidney Female Embryo (121 day) DNASE	DNASE	Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__85_days_	383	Kidney Female Embryo (85 days) DNASE	DNASE	Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_kidney_female_embryo__76_days__and_male_embryo__76_days_	611	Kidney Female Embryo (76 days) and Male Embryo (76 days) DNASE	DNASE	Kidney Female Embryo and Male Embryo	Kidney	Developing	Tissue
DNASE_kidney_glomerular_epithelial_cell_male_adult__43_years__and_male_adult__62_years_	227	Kidney Glomerular Epithelial Cell Male Adult (43 years) and Male Adult (62 years) DNASE	DNASE	Kidney Glomerular Epithelial Cell Male Adult	Kidney	Adult	Tissue
DNASE_kidney_male_embryo__105_days_	414	Kidney Male Embryo (105 days) DNASE	DNASE	Kidney Male Embryo	Kidney	Developing	Tissue
DNASE_kidney_male_embryo__85_days_	544	Kidney Male Embryo (85 days) DNASE	DNASE	Kidney Male Embryo	Kidney	Developing	Tissue
DNASE_kidney_male_embryo__87_days_	294	Kidney Male Embryo (87 days) DNASE	DNASE	Kidney Male Embryo	Kidney	Developing	Tissue
DNASE_kidney_tubule_cell_female_adult__80_years__and_male_adult__62_years_	255	Kidney Tubule Cell Female Adult (80 years) and Male Adult (62 years) DNASE	DNASE	Kidney Tubule Cell Female Adult and Male Adult	Kidney	Adult	Tissue
DNASE_kidney_tubule_cell_female_adult__80_years__treated_with_5_uM_cisplatin	291	Kidney Tubule Cell Female Adult (80 years) treated with 5 uM cisplatin DNASE	DNASE	Kidney Tubule Cell Female Adult treated with 5 uM cisplatin	Kidney	Adult	Tissue
DNASE_left_kidney_female_embryo__107_days_	650	Left Kidney Female Embryo (107 days) DNASE	DNASE	Left Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_female_embryo__110_days_	663	Left Kidney Female Embryo (110 days) DNASE	DNASE	Left Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_female_embryo__147_days_	372	Left Kidney Female Embryo (147 days) DNASE	DNASE	Left Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_female_embryo__87_days_	311	Left Kidney Female Embryo (87 days) DNASE	DNASE	Left Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_female_embryo__98_days_	218	Left Kidney Female Embryo (98 days) DNASE	DNASE	Left Kidney Female Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_female_embryo__59_days__and_male_embryo__91_day_	210	Left Kidney Female Embryo (59 days) and Male Embryo (91 days) DNASE	DNASE	Left Kidney Female Embryo and Male Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_male_embryo__115_days_	440	Left Kidney Male Embryo (115 days) DNASE	DNASE	Left Kidney Male Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_male_embryo__87_days_	473	Left Kidney Male Embryo (87 days) DNASE	DNASE	Left Kidney Male Embryo	Kidney	Developing	Tissue
DNASE_left_kidney_male_embryo__96_days_	259	Left Kidney Male Embryo (96 days) DNASE	DNASE	Left Kidney Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_cortex_interstitium_male_embryo__105_days_	208	Left Renal Cortex Interstitium Male Embryo (105 days) DNASE	DNASE	Left Renal Cortex Interstitium Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_cortex_interstitium_male_embryo__105_days_	465	Left Renal Cortex Interstitium Male Embryo (105 days) DNASE	DNASE	Left Renal Cortex Interstitium Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_cortex_interstitium_male_embryo__105_days_	626	Left Renal Cortex Interstitium Male Embryo (105 days) DNASE	DNASE	Left Renal Cortex Interstitium Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_cortex_interstitium_male_embryo__120_days_	187	Left Renal Cortex Interstitium Male Embryo (120 days) DNASE	DNASE	Left Renal Cortex Interstitium Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_pelvis_male_embryo__105_days_	173	Left Renal Pelvis Male Embryo (105 days) DNASE	DNASE	Left Renal Pelvis Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_pelvis_male_embryo__105_days_	292	Left Renal Pelvis Male Embryo (105 days) DNASE	DNASE	Left Renal Pelvis Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_pelvis_male_embryo__105_days_	325	Left Renal Pelvis Male Embryo (105 days) DNASE	DNASE	Left Renal Pelvis Male Embryo	Kidney	Developing	Tissue
DNASE_left_renal_pelvis_male_embryo__120_days_	329	Left Renal Pelvis Male Embryo (120 days) DNASE	DNASE	Left Renal Pelvis Male Embryo	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_female_embryo__103_days_	501	Renal Cortex Interstitium (Female Embryo, 103 days) DNASE	DNASE	Renal Cortex Interstitium (Female Embryo, 103 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_female_embryo__120_days_	430	Renal Cortex Interstitium (Female Embryo, 120 days) DNASE	DNASE	Renal Cortex Interstitium (Female Embryo, 120 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_female_embryo__89_days_	595	Renal Cortex Interstitium (Female Embryo, 89 days) DNASE	DNASE	Renal Cortex Interstitium (Female Embryo, 89 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_female_embryo__96_days_	178	Renal Cortex Interstitium (Female Embryo, 96 days) DNASE	DNASE	Renal Cortex Interstitium (Female Embryo, 96 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_female_embryo__96_days_	630	Renal Cortex Interstitium (Female Embryo, 96 days) DNASE	DNASE	Renal Cortex Interstitium (Female Embryo, 96 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_male_embryo__108_days_	222	Renal Cortex Interstitium (Male Embryo, 108 days) DNASE	DNASE	Renal Cortex Interstitium (Male Embryo, 108 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_male_embryo__108_days_	582	Renal Cortex Interstitium (Male Embryo, 108 days) DNASE	DNASE	Renal Cortex Interstitium (Male Embryo, 108 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_male_embryo__113_days_	239	Renal Cortex Interstitium (Male Embryo, 113 days) DNASE	DNASE	Renal Cortex Interstitium (Male Embryo, 113 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_male_embryo__127_days_	593	Renal Cortex Interstitium (Male Embryo, 127 days) DNASE	DNASE	Renal Cortex Interstitium (Male Embryo, 127 days)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_male_embryo__91_day_	289	Renal Cortex Interstitium (Male Embryo, 91 day) DNASE	DNASE	Renal Cortex Interstitium (Male Embryo, 91 day)	Kidney	Developing	Tissue
DNASE_renal_cortex_interstitium_male_embryo__97_days_	444	Renal Cortex Interstitium (Male Embryo, 97 days) DNASE	DNASE	Renal Cortex Interstitium (Male Embryo, 97 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_female_embryo__103_days_	447	Renal Pelvis (Female Embryo, 103 days) DNASE	DNASE	Renal Pelvis (Female Embryo, 103 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_female_embryo__105_days_	479	Renal Pelvis (Female Embryo, 105 days) DNASE	DNASE	Renal Pelvis (Female Embryo, 105 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_female_embryo__89_days_	621	Renal Pelvis (Female Embryo, 89 days) DNASE	DNASE	Renal Pelvis (Female Embryo, 89 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_female_embryo__96_days_	228	Renal Pelvis (Female Embryo, 96 days) DNASE	DNASE	Renal Pelvis (Female Embryo, 96 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_female_embryo__96_days_	474	Renal Pelvis (Female Embryo, 96 days) DNASE	DNASE	Renal Pelvis (Female Embryo, 96 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_male_embryo__108_days_	622	Renal Pelvis (Male Embryo, 108 days) DNASE	DNASE	Renal Pelvis (Male Embryo, 108 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_male_embryo__113_days_	652	Renal Pelvis (Male Embryo, 113 days) DNASE	DNASE	Renal Pelvis (Male Embryo, 113 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_male_embryo__127_days_	316	Renal Pelvis (Male Embryo, 127 days) DNASE	DNASE	Renal Pelvis (Male Embryo, 127 days)	Kidney	Developing	Tissue
DNASE_renal_pelvis_male_embryo__91_day_	460	Renal Pelvis (Male Embryo, 91 day) DNASE	DNASE	Renal Pelvis (Male Embryo, 91 day)	Kidney	Developing	Tissue
DNASE_renal_pelvis_male_embryo__97_days_	348	Renal Pelvis (Male Embryo, 97 days) DNASE	DNASE	Renal Pelvis (Male Embryo, 97 days)	Kidney	Developing	Tissue
DNASE_right_kidney_female_embryo__107_days_	184	Right Kidney (Female Embryo, 107 days) DNASE	DNASE	Right Kidney (Female Embryo, 107 days)	Kidney	Developing	Tissue
DNASE_right_kidney_female_embryo__117_days_	549	Right Kidney (Female Embryo, 117 days) DNASE	DNASE	Right Kidney (Female Embryo, 117 days)	Kidney	Developing	Tissue
DNASE_right_kidney_female_embryo__147_days_	610	Right Kidney (Female Embryo, 147 days) DNASE	DNASE	Right Kidney (Female Embryo, 147 days)	Kidney	Developing	Tissue
DNASE_right_kidney_female_embryo__87_days_	175	Right Kidney (Female Embryo, 87 days) DNASE	DNASE	Right Kidney (Female Embryo, 87 days)	Kidney	Developing	Tissue
DNASE_right_kidney_female_embryo__98_days_	613	Right Kidney (Female Embryo, 98 days) DNASE	DNASE	Right Kidney (Female Embryo, 98 days)	Kidney	Developing	Tissue
DNASE_right_kidney_male_embryo__108_days_	367	Right Kidney (Male Embryo, 108 days) DNASE	DNASE	Right Kidney (Male Embryo, 108 days)	Kidney	Developing	Tissue
DNASE_right_kidney_male_embryo__115_days_	672	Right Kidney (Male Embryo, 115 days) DNASE	DNASE	Right Kidney (Male Embryo, 115 days)	Kidney	Developing	Tissue
DNASE_right_kidney_male_embryo__87_days_	334	Right Kidney (Male Embryo, 87 days) DNASE	DNASE	Right Kidney (Male Embryo, 87 days)	Kidney	Developing	Tissue
DNASE_right_kidney_male_embryo__91_day_	550	Right Kidney (Male Embryo, 91 day) DNASE	DNASE	Right Kidney (Male Embryo, 91 day)	Kidney	Developing	Tissue
DNASE_right_kidney_male_embryo__96_days_	507	Right Kidney (Male Embryo, 96 days) DNASE	DNASE	Right Kidney (Male Embryo, 96 days)	Kidney	Developing	Tissue
DNASE_right_renal_cortex_interstitium_male_embryo__105_days_	171	Right Renal Cortex Interstitium (Male Embryo, 105 days) DNASE	DNASE	Right Renal Cortex Interstitium (Male Embryo, 105 days)	Kidney	Developing	Tissue
DNASE_right_renal_cortex_interstitium_male_embryo__105_days_	297	Right Renal Cortex Interstitium (Male Embryo, 105 days) DNASE	DNASE	Right Renal Cortex Interstitium (Male Embryo, 105 days)	Kidney	Developing	Tissue
DNASE_right_renal_cortex_interstitium_male_embryo__120_days_	614	Right Renal Cortex Interstitium (Male Embryo, 120 days) DNASE	DNASE	Right Renal Cortex Interstitium (Male Embryo, 120 days)	Kidney	Developing	Tissue
DNASE_right_renal_pelvis_male_embryo__105_days_	540	Right Renal Pelvis (Male Embryo, 105 days) DNASE	DNASE	Right Renal Pelvis (Male Embryo, 105 days)	Kidney	Developing	Tissue
DNASE_right_renal_pelvis_male_embryo__105_days_	547	Right Renal Pelvis (Male Embryo, 105 days) DNASE	DNASE	Right Renal Pelvis (Male Embryo, 105 days)	Kidney	Developing	Tissue
DNASE_right_renal_pelvis_male_embryo__105_days_	667	Right Renal Pelvis (Male Embryo, 105 days) DNASE	DNASE	Right Renal Pelvis (Male Embryo, 105 days)	Kidney	Developing	Tissue
DNASE_right_renal_pelvis_male_embryo__120_days_	436	Right Renal Pelvis (Male Embryo, 120 days) DNASE	DNASE	Right Renal Pelvis (Male Embryo, 120 days)	Kidney	Developing	Tissue
DNASE_HepG2	27	HepG2 DNASE	DNASE	HepG2	Liver	Unknown	Cell Line
DNASE_HepG2	91	HepG2 DNASE	DNASE	HepG2	Liver	Unknown	Cell Line
DNASE_HepG2	234	HepG2 DNASE	DNASE	HepG2	Liver	Unknown	Cell Line
DNASE_hepatocyte	26	Hepatocyte DNASE	DNASE	Hepatocyte	Liver	Adult	Tissue
DNASE_liver_embryo__59_days__and_embryo__80_days_	242	Liver Embryo (59 days) and Embryo (80 days) DNASE	DNASE	Liver Embryo and Embryo	Liver	Developing	Tissue
DNASE_liver_female_embryo__101_day__and_female_embryo__113_days_	452	Liver Female Embryo (101 day) and Female Embryo (113 days) DNASE	DNASE	Liver Female Embryo and Female Embryo	Liver	Developing	Tissue
DNASE_right_lobe_of_liver_female_adult__53_years_	448	Right Lobe of Liver (Female Adult, 53 years) DNASE	DNASE	Right Lobe of Liver (Female Adult, 53 years)	Liver	Adult	Tissue
DNASE_left_lung_female_embryo__105_days_	400	Left Lung Female Embryo (105 days) DNASE	DNASE	Left Lung Female Embryo	Lung	Developing	Tissue
DNASE_left_lung_female_embryo__107_days_	512	Left Lung Female Embryo (107 days) DNASE	DNASE	Left Lung Female Embryo	Lung	Developing	Tissue
DNASE_left_lung_female_embryo__108_days_	396	Left Lung Female Embryo (108 days) DNASE	DNASE	Left Lung Female Embryo	Lung	Developing	Tissue
DNASE_left_lung_female_embryo__110_days_	655	Left Lung Female Embryo (110 days) DNASE	DNASE	Left Lung Female Embryo	Lung	Developing	Tissue
DNASE_left_lung_female_embryo__117_days_	437	Left Lung Female Embryo (117 days) DNASE	DNASE	Left Lung Female Embryo	Lung	Developing	Tissue
DNASE_left_lung_female_embryo__91_day_	569	Left Lung Female Embryo (91 day) DNASE	DNASE	Left Lung Female Embryo	Lung	Developing	Tissue
DNASE_left_lung_male_embryo__105_days_	649	Left Lung Male Embryo (105 days) DNASE	DNASE	Left Lung Male Embryo	Lung	Developing	Tissue
DNASE_left_lung_male_embryo__113_days_	407	Left Lung Male Embryo (113 days) DNASE	DNASE	Left Lung Male Embryo	Lung	Developing	Tissue
DNASE_left_lung_male_embryo__115_days_	632	Left Lung Male Embryo (115 days) DNASE	DNASE	Left Lung Male Embryo	Lung	Developing	Tissue
